userName,score,at,content
DKH GAMING,5,11/19/2021 21:20,Yoo begitu banyak aplikasi video keren dan lucu ini
Adiet Rhushan,5,11/18/2021 11:50,"bagus, asal di pergunakan dengan bagus. Tlong tiktok lebih di perketat lagi karna di tiktok banyak yg membuat video joget2 seksi. tlong lebih di lihat lagi kalau perlu di blok hal2 seperti itu."
Patricia Alves brito,5,11/16/2021 2:55,"Aplikasi ny jelek banget dehh!!!!!!!!! .......jangan di download yhh!!!!!!...gak bagus percaya dehhh!!!.... Sama minum nyah^!!!!!!.... Tapi boong pak nya bagussssssss!!!!banget minim kasih bintang5 untuk apk ini karna seru,bagus, buat kita yang fakk modd Instal ini mood nya akan kembali ceruahhh!!!!!!!*^ Percaya dehhhhh...sama minum Yh...asalamualikum teman²😊💗"
Ligia Silva,5,11/13/2021 12:58,Saya sangat suka dengan video & musiknya terima kasi banget buat tiktok yan selalu memberi videonya teman2 yan sangat menhibur saya saat lagi sendirian dimanapun & kapanpun saya berada.terima kasi buat tiktok semoga terus mengasi video & musiknya yan bagus & kern2 semua terima kasih tiktok.
Gevania Leite,5,11/10/2021 8:31,Saya suka dengang aplikasi ini.aplikasinya sangat bagus dan menhibur bangettttttttt.....!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Yogi Pandya,1,11/10/2021 6:16,Aplikasi yang sangat menganjingkan orang joget joget bisa masuk ke dalam tiktoknya
Miko Miku,4,11/10/2021 5:45,Banguss sekali hanya saja saya ingin mempunyai akun banyak tapi tidak bisa jadi saya beri 4 dlu ya maaf♪(┌・。・)┌
Vedi Kusumajaya,5,11/10/2021 2:50,"Lautan info bisa senyum, tertawa, sedih, haru, semakin pintar .banyak pokoke"
marques pro plyer pubgm,5,11/9/2021 13:33,Apk yg sangat bagus dri 2017 saya main apk ini ga ada masalah 🤘🤘👏👏👍👍👍👍👍
Carlos David Saldanha Xavier,3,11/7/2021 9:38,"Baru download, jadi saya kasih Bintang tiga dulu iyah. Nanti kalo bagus aplikasinya baru aku tambahan.!"
Alfina,5,11/7/2021 8:39,"Tiktok,ini sangat bagus saya,mndji terkenal btw, terimakasih ya tiktok-!!"
Tira misu,5,11/2/2021 4:00,"Terima kasih tiktok,,dgn ada nya tiktok jd bnyk informasi, teman,,dn menghibur bngt,dgn musik"" nya yg mantul,, Sx lg Terima kasih banyak,, sehat & sukses selalu 😊🙏"
Wahyu Pratiwi,5,11/1/2021 20:24,"ga problem sih sama apknya cuma boros sja hehe ,dan saya tim gapernah post jadi cuma liat vid orang aja"
Lina Channel,5,11/1/2021 14:10,Suka aja sama aplikasinya sangat menghibur dan menambah teman baru
Dimas anjing,4,10/31/2021 13:13,Plis kasih epen yang lebih bagus lagi .asak udah 1m donloader efen nya kayak gitu doang
Antonio Fernandes Da Cunha,5,10/28/2021 10:02,Aplikasinya jelek bangeeeeeeeeeeeeeeeeet....................................................................................................................................................... .....................................................................tapi bohon aplikasinya bagus banget Terimakasih tik tok sudah
Dark Falcon,1,10/28/2021 8:54,Tolong kontennya harus bisa di filter untuk anak ² atau dewasa biar anak² agar bisa terdidik
18. Nur Ismi Barda,5,10/27/2021 15:24,Suka buangetttt dehh klo lagi galau atau cht sepi auto buka tiktok 😂
mariumah fathi muhammad alilah,3,10/24/2021 19:17,"ko aku beli koin gk dtng ea,, ad ap tpi pls ku d ambil tolong lh tik tok jngan klu dikirim terlalu lambat,, masa beli sekrang udh 2 x beli blum masuk koin ny,, tlong d perbaiki"
Indra Cah,5,10/24/2021 8:54,Ka mohon info nya ya ka kenapa saya tidak bisa masuk tiktok ya ka dan kenapa setiap saya masuk keluar mulu????
Pes 2017,1,10/23/2021 10:44,Gabisa login parameter tidak valid cokk
Wiwi Wiwi,5,10/21/2021 15:32,"Alhamdulilah punya Tik tok kami bisa terhibur kehilangan kan rasa jenuh dan Cape bisa terobati, terimakasih tik tok poko ny good👍🏻👍🏻👍🏻"
RO ROSI'AH,5,10/21/2021 4:15,"Ok 👌 siip 👌 ku suka, tapi syang sis tidak ada tulisan nya jika kita mau bernyanyi,, kasih dong, biar sy mudah mnyayi nya"
Adilah nadiyani,2,10/20/2021 9:06,Mau download tapi gak punya wifi gak hemat paket boros ruang penyimpanan
Raya putry Puput,5,10/20/2021 0:28,"Aplikasi tiktok saya terhapus, trus saya coba mendownload lagi, enggak bisa gimna caranya yah😞"
DEATH KILL,5,10/19/2021 17:09,Aplikasi dan fitur² yg tersedia sangat keren tapi tolong untuk pihak Tiktok jika kita upload video lolong fyp nya di permudahkan yaa karna nggak enak juga udah capek-capek buat video pas upload ehhh malah nggak fyp🥲
Ahmad Ridla Hasani,4,10/19/2021 9:40,suka sih tp lebih di kembangkan lagi tiktoknya
Naufal Nzks,1,10/18/2021 7:15,Tolong ini gimana pada pendaftaran umur padahal saya sudah jujur tapi malah di bilang belum bisa dan saya undur lagi malah ga bisa lag ini gimana tolong 😤😤😤
Ester Christiany,5,10/18/2021 6:25,"Kenapa akun saya di aplikasi tiktok ini gak bisa masuk, tapi kalau di aplikasi tiktok lite bisa masuk ,ada apa ini heee"
Agung Wahyudi,2,10/18/2021 5:36,"2 aja dulu nanti kalo udah bisa live tak kasih tambah lagi bintang nya,harunya bisa live gak harus nunggu follower banyak."
Palembang 123,1,10/16/2021 13:30,Sangat cocok buat konten
Cindi Fatimah,1,10/16/2021 0:13,"Plis bngt pihak tiktok kok akun lma ku g bsa msuk tulisan ny'""frekuensi terlalu sering di kunjungi"" pdhl udh 5× download hpus msh g bsa data udh di hps ttap aj kok briq bet y!"
Rozy Saputra,5,10/14/2021 18:36,"Aplikasi tiktok ini bikin saya ingin kembali sekolah SD lg, , karna, , uang saku waktu aku SD , sangat murah sekali, dan aku senang sekali, , apalagi teringat waktu dulu pernah ngiseng nyng katok, , 😁😁😁😁"
AYI Mirza,5,10/14/2021 15:26,Sngat bagus untuk menghibur diri di saat bete...
Selawati Ahmad,2,10/14/2021 8:48,"Kepada yg terhormat, tolong dong di normalkan TikTok ini sementara aku kasih bintang dua ,karna g bisa di aplod sllu masuk ke draf"
Lina Cirebon,5,10/14/2021 5:58,"Cuman untuk menghibur aja dr pd bete,aq ksh bintang 5 ya.tp aq seneng main tiktok"
Purwanti Purwakarta,2,10/13/2021 8:19,Knp keluar sendir Dan knp aplikasi not install pdhl udah di apdet Mohon di perbaiki ni apk ny
Nur hayati Hayati,5,10/11/2021 15:41,Asalam mualaikum kepada admin tiktok knpa tiktok sy g ada efek green screen nya jd Susah buat duet tlong Cara nya dong bntu 😭
Ega Irna,5,10/11/2021 10:27,"mantap apkisi nya,,terimakasih smoga ke depan nya makin ada fitur dan filter"" baru lagi !!!!!!!!!!!!!!!!!!!!!!!!!¡!!!!!!!!!the best"
Anns Buchory,1,10/11/2021 9:15,"Harusnya ada riwayat tontonan, mungkin kedepannya bisa di tambahkan"
risky Abadi,1,10/10/2021 23:45,woi tiktok kenapa saya buffring banget kalo lagi nonton video pdhal jaringan wifi bagus
Zubaida A,1,10/10/2021 12:52,"Kenapa aolikasinya ngak bisa ke downlod ya, padahal saya pakai wi-fi tapi masih terjeda terus"
Wowo Hilabi,1,10/10/2021 7:51,"Pemaksaan masuk iklan tik tok ke akun hp saya, Benar "" jadi tdk nyaman, sangat mengganggu"
AMMAR FADHIL Channel,5,10/8/2021 13:59,Aplikasinya bagus dan mudah digunakan untuk membuat hati saya senang
amayra alyanna,4,10/7/2021 3:20,"Lumayan lah yah,pas gabut scrool tiktok,,uhh memang the best deh tiktok,tapi maaf saya hanya hanya memberikan 4 bintang"
Camilla Joeiz,5,10/5/2021 13:43,"Sangatt puass...untuk hiburan,d kala sedang boring."
Noviani Novhe,5,10/5/2021 5:25,Seru banget aplikasi ini buat kalian yang lagi gk ada kerjaan coba deh download aplikasi tiktok
Rudi Ferdianto,5,10/4/2021 19:30,"Kepada pihak tiktok yang terhormat, kenapa akun saya tidak bisa melakukan live streaming padahal sudah mencapai 1000 follower dan usia saya sudah di atas 18 tahun mohon dengan sangat bantuanya agar di munculkan fitur live streamingnya terima kasih"
Cemong Raihan,1,10/2/2021 3:50,Makin lama makin aneh tadi koin cuma 1 sekarang malah hilang koin nya outo uninstall
Keisya Kenzho,1,9/30/2021 14:04,Kenapa aku udah lama nunggu download tapi masih 52 terus padahal penyimpanan aku gk penuh
Rotua Lusianti Panggabean,1,9/28/2021 11:49,"Kecewa aku kenapa akun titkok ku gabisaaa dibukak Padahal itu akun ku Uda lama dan follower nya Uda banyak kian Dan biasanya login nya dari FB , eh dimasukkan dengan fb yg smaa tapi akun nya beda video dan follower nya pun tidak ada lagi"
OnlyJzz,1,9/27/2021 21:00,"Kenapa sih tik tok udah error njir, setiap gw nge login ke akun gw trus ada tulisan frekuasi kunjungan terlalu sering, padahal udah di tungguin 5 jam lebih tapi masih muncul tulisannya"
Kupu Ijo,4,9/26/2021 5:00,kenapa setiap saya downld aplikasi ini gak bisa buat online lihat video dan sebagai ny
Jamila Fa,5,9/23/2021 23:31,Saya pemula blom bnyk tau tentang aplikasi ini tpi saya sangat suka karena dengan aplikasi ini saya bisa menghibur diri sendiri Semoga aplikasinya semakin melejittt🙏🏼🙏🏼
Ana Qhalby,5,9/23/2021 13:17,Sblmnya say ucapkn bnyk trimaksh pd aplikasi ini. Karna bnyk pngalamn dn brbagai pngetahuan di aplikasi ini. Slain itu saya bisa mnmbah sahabat dg brsilaturahmi walaupun hnya di dunia maya. Karna brtmn dn brsilaturahmi tk hrs brttp muka .dg cara union alhmdllh dg kita hati kita baik insyaallh smuanya akn baik 🙏🙏 TERIA KASIH TIKTOK
Alfreno Saputra,4,9/23/2021 3:48,Aplikasi ini lumayan tapi kok akun lama sy hilang ??? Ad juga aku ketemu bugg bugg nya knp GK bisa masuk akun Facebook ku👍
algomez,5,9/22/2021 0:04,Tiktok ini keren banget Bisa belajar bisa ketawa juga pokonya banyak da 11&12 lah sama YouTube 😅😁
Troztor,4,9/20/2021 13:55,"Kalo bisa kembalikan event nonton dapet koin lagi jgn yg undang teman, kena tipu trs kalo ky gitu min pake hp 2 yg satu di hapus semua data ponsel trs intall masukin kode dan trs diulang jd rugi kau min😂 mending balikin event buat nonton dapet koin😤😤😤"
Din Sasak,5,9/20/2021 11:55,Saya sangat suka dengan bermain tiktok ini karna banyak pengalaman yang bisa saya petik
Afiqah Makayasa,5,9/19/2021 14:00,Aplikasi nya sangat bagussss kalian wajib download aplikasi tiktok selain video nya menarik kita juga bisa dapetin uang pokoknya kalian harus download deh gk nyesel kalau download aplikasi tiktok serius deh aplikasi juga membawa kepengetauan pokoknya nya kalian wajib download aplikasi tiktok ini gusy SDH 1m orang download dari pada apk yang satu sana emang tesh best deh aplikasi ini pokoknya wajib download aplikasi tiktok ini gusy jangan lupa untuk like juga video ya jangan cuma di lihat Gusy ok
Florencia dr Jesus,5,9/18/2021 22:48,"Aplikasi ya bagus sekali dan banyak filter yang bagus, dan menghibur banyak orang, dan banyak drama yang bisa kita nonton. Sumpah siapa yang download ga bakal nyesel.😍"
Muhammad Maulana Ishaq,5,9/18/2021 6:04,"Saya suka tiktok ,saya bisa belajar banyak tentang kehidupan,shalat dan bacaannya ,ceramah yang sangat bagus."
Eliene Soares,5,9/12/2021 21:08,Slave to download dangdut koplo goyang hot kereta yang pernah ada habisnya yang ada habisnya tidak pernah tahu kapan harus berhenti merokok yang pernah ada habisnya ada di dunia yang tidak bisa
Shaa Robloxx,2,9/11/2021 2:56,Eh please tik tok tolong jelasin dong knp aku gk bisa ya buka tik tok nya setiap habis download trs aku buka kok gk bisa ya ? Tolong jelaskan domg tik tok padahal hpku gk kenapa kenapa 😭😭
Mulyadi SE 7108,5,9/6/2021 15:07,Biaya promosi yg murah
Yani Sifa,5,9/6/2021 4:26,Knp sih stiap buka tiktok d block mulu tolong dong d prbaiki lebih telti gan
Ryant Bee,5,9/4/2021 14:23,Aplikasi ini bagus banget ada tiktok nya entul
Lucy Anto,5,9/1/2021 4:54,Ini bagus pol sih kamu bisa bikin tiktok seru bisa liat orang artis tiktok bagus pol pokok nya kalian harus donlod sih baguuuuuuuuuuuuussssssssssss pollllll
Abdul Robin,1,8/30/2021 17:29,"Tiktok aplikasi yang cman ngabisin kuota, imbalan nonton vidio receh, jd skrang tiktok aplikasi gk guna, lama lama gk ada orang yg bagian nonton vidio."
Pretty Danlon,1,8/27/2021 13:23,"Payah,, udh mengkonten.3thn,, smpe ganti"" akun satu pun tdk menghasilkan,, sediihh,, kuota ku trbuang selama 3 thn,,"
Ronica Dwi_com,3,8/26/2021 18:19,Kok punya ku ada tulisan tiktok telah berhenti punyak kalian gitu juga gak???????
Srit Zebua,5,8/26/2021 11:53,"Bagusss, tapi baik2nya jangan pilih2 kasih buat FYP. Trus mohon siaran langsungnya terbuka untuk smua pengguna tiktok. Karna butuh buat jualan. Terima kasih 🙏💕"
Anak Rantau,1,8/25/2021 12:00,"Buat admin tiktok. Tolong perbaiki tiktok saya. Udah 1 setengah taun saya ga bisa live. Karna di blok oleh pihak tiktok. Cuma gara"" sepele, tapi kenapa yang lain saat live sexi ga di blok..! Trimakasih..!"
Chan Farel,1,8/20/2021 15:56,Sangat bagus dan cocok untuk hiburan
Aminah aminah,5,8/19/2021 4:51,Dengan aflikasi ini saya bisa bertambah teman dan bisa menghilangkan penat kejenuhan dalam kerja.makasih tiktok 💟
Muhammad Dzaelani540,5,8/17/2021 13:52,Sangat menghibur di saat cape dan lelah abis kerja... Aku suka ap tiktok
NURDIANA diana,5,8/17/2021 11:37,"Sangat suka, bisa membuat saya terhibur kalau sedang sendiri"
Abel Bere leto,5,8/17/2021 8:57,Aplikasi ini bagus bange sumpa kalian harus insta kalo ga instal nanti kalia akan meniesal👍👍👍
Nurmini Mini,5,8/17/2021 3:56,Saya sangat suka karna dgn adanya aplikasi ini membuat saya sangat terhibur dan juga banyak pengalamn yang saya dapat
Ari Rezha,3,8/14/2021 2:11,Kenapa ya tiba tiba tidak bisa mengakses. Padahal jaringan lancar
Ikaarti,4,8/13/2021 11:41,"Aplikasi yang dulu nya dibilang alay, sekarang menjadi aplikasi paling populer saat ini. Emang gak ada yang tahu masa depan"
rechandika alfarizqi,5,8/13/2021 11:29,Tik tok memang bagus aku suka lagu dan jogetanya👍👍👍
Cod Gaming,4,8/11/2021 4:59,Ko ngga bisa di simpen vidioya tapi bagus aplikasi ya aku suka
Chandra Kurniawan Saputra,5,8/11/2021 4:42,aku suka aplikasinya karna menghibur dan aku sudah donglot tapi sama adik aku dihapus ya udah aku donglot lagi deh
wong ngaji,1,8/8/2021 7:37,"Ranting apaan tarik saldo aja sedangkan penarikan trus sampai dua hari, niat ngasih bonus apa gk."
Suchrisno Ajah,2,8/7/2021 18:24,Kecewa sama developer tik tok bikin systemnya ga bisa bedain akun real atau palsu Yg real susah masukin kodenya mending gedein coin kehadiran sama coin nonton aja jangan rev klo ga bisa bedain mah
Diana Nova,5,8/6/2021 21:39,Bagus dan bisa menghibur makasih tiktok
Nafisa putri,1,8/5/2021 13:17,Jelek banget dah dongwoon tapi kembali terus tolang ya yang nyiptain tiktok tolong di perbaiki ok}yang lain dongwoon nyesel ngk bisa harus pake akun jeleh
Rini Lisnawati,2,8/5/2021 1:46,Aku liat ada yang tiktok lite dan tiktok biasa nah kok ada dua tiktok nya ini palsu
Rika Dedek,5,8/4/2021 21:26,Aku senang bermain. Tiktok ini lah hiburan yg tidak membosankan selalu ada persi terbaru untuk filternya trgs nambah pengalaman juga
Juliao Antunes,5,8/4/2021 2:48,"Saya suka aplikasinya bisa menhibur orang2 yang strees, dan bisa menhilangkan stresnyaaaaaa"
Terima apa gak Najmahsalma,1,7/30/2021 10:07,Jelek ko da banyak tiktok bingung milih dah ini aplikasi asli / palsu bingung nggak lagi deh donload s sekarang baru tau kan yang asli ribeeeeet
Joni Iskandar,5,7/29/2021 14:37,Bagus aplikasi nya tapi kok skrg ngga ada koin nya lagi ya... hhehe
theresia yolanda,3,7/27/2021 7:26,"Tik tok aku gabisa di buat upload video baru pdhl udh 3 kali di coba tapi videonya ke hps trs pdhl aku udh lama pake tapi baru"" ini gabisa di upload videonya..itu ada mslh dg tik tok aku gak ya😭😭"
Tio 123,1,7/27/2021 1:15,Woiy ajg kenapa gua gak bisa daftar gblk padahal kalo bisa gua kasih bintang 5 tiktok gblk
Sara Barros,5,7/26/2021 9:33,"Emang sih Tik tok bagus bangat aku suka banget, Tik tok bisa hibur kita"
طالب,5,7/25/2021 20:53,"Bagus sekali aplikasi tiktok ini, di saat aku sedih senang, aku bikin tiktok"
Kecoa Loncat,5,7/25/2021 13:30,Untuk pemula lumayan tdk sulit untuk menggunakan apk ini menghibur
Denilson Dsb,4,7/24/2021 3:54,Kurang bagus kenapa saya bilang kurang bagus karena ga bisa Download video nya jadi di perbaiki lagi ya 😁😁😁😎😄😄😄😄😄😁😁😁😄😁😁😄😁😄😁😄😁😄😁😄😁😁😄😄😁😁😄😁😄😄😁😄😁😄😁😄😁😄😁😄😁😄😁😄😁😄😁😄😆😄😆😄😄😆😄😆😄😆😄😆😄😆😄😁😄😁😄😁😄😆😄😆😄😆😄😁😄😁😄😁😄😁😄😆😄😆😄😆😄😆😄😆😆😄😁😄😁😄😁😄😁😄😁😄😁😄😇😄😆😄😆😄😆😄😆😄😆😄😆😄😉
Edy Susanto,1,7/23/2021 12:54,"Aplikasi gak mutu main blok aja... unistall, males bikin account baru. gue bikin cuma buat awasi anak. fix satu keluarga unistall gak butuh tiktok. yg bilang kalian dpt coin jng percaya diboongin, coin gue ilang sendiri"
Resla Zety,4,7/23/2021 1:26,"Aku suka aplikasi tiktok karena tempat curahan hatiku,,selain itu menambah bnyak teman dan sodara,,,terima kasih tiktok"
Jony dana Dos Santos,5,7/21/2021 8:05,Tik tok sangat membantu untuk meyegarkan capah
Allyssa,3,7/19/2021 12:50,"lumayan, but ada aja konten yang negatif gitu. tapi selain itu bagus kokk👍🏻"
Agus Setiawan,2,7/19/2021 11:19,Untuk seukuran aplikasi video aplikasi ini terlalu banyak memakan penyimpanan
Dedy Arsndy,5,7/17/2021 10:50,Saya kasih bintang lima tapi tolong perbaikin di masalah saya ada yang kurang tentang coin dan undangan nya.maksih
Rita Soares,5,7/16/2021 13:57,Hallo nama saya Graça saya hanya mau bilang kalo aplikasi ini bagus😊👍kasih 5 bintang yah
Tanio Repal,5,7/16/2021 1:59,Ini sangat bagus zangan rupa danlout Nia wa karena ini bisa buat apa papa ini sangat bagus jangan rupa wa kasi binta lima sungu ini sagat bagus sebelum masuk daftar dulu wa👍☺️♥️
Alberto Santos,5,7/15/2021 10:30,"Terima kasi tik tok, karena hiburan hiburan dan motivasi yang sekarang saya belajar"
Maharani Aulia Rahma,2,7/15/2021 9:56,Kok gak ada tanda koin nya ya? Pertama tama ada lama lama hilang gimana sih padahal udah ada koin nya😭
Binsay Queen,5,7/12/2021 21:25,Saya sangat suka aplikasi ini dapat menghibur dan banyak juga info info yg positif ❤👍
Bayu DharmaTrinanda,5,7/12/2021 11:07,"Terimakasih tiktok,karena hiburan di aplikasi ini membuat penyakit saya mulai membaik dan saya juga sudah bisa mem-"
Bayu Antoni,3,7/9/2021 17:23,hp gua ram nya 4 gb internalnya 128 tapi ngepos
Sundarie Wardana,1,7/9/2021 15:47,Tiktok itu khusus yg pke wifi bukan sch?? Knpa saya yg pake data tidak bisa buka tiktok..saya d luar negri
CAMELIA TV CREATOR,5,7/9/2021 12:58,Tolong dong coin hadir sama nonton 4O menitnya adain lagi... Jagan event undangan terus yg di gedein.. Gara gara kode undangan bayak yg bikin akun palsu untuk curang Dan bugh.. Akibat nya kita yg akun ori selalu eror dan dikira akun penipuan
Dion Ario,1,7/9/2021 11:58,"Busuk, masa udah download misi untuk mendapatkan koin ga muncul - muncul, aplikasi busuk dan tidak rekomendasi"
Nick Fashion Store,5,7/8/2021 4:16,"udh lama c gunain aplksi ini cmn sering masuk kluar,cmn yg jd pertanyaan ,gimna iya & gunain aplksi apa gt biar kita bs editin video yg kita bikin d tiktok bs d slow gt"
Ridho Ichani,1,7/5/2021 14:39,"sampahh event makin susah, mana event tidak muncul lagi"
Zhank Vengeance,1,7/5/2021 11:18,mending snack video penarikan nya gampang gak susah misi nya gampang gak stak 5menit terus
Heru Erlangga,1,7/4/2021 8:23,Knpa sya kasi satu bintang dlu? karna apl ini blum sya cba. Klo sempurna pasti sya tambahin lgi bintangny soalnya di playstore ini bnyak apl yg gx masuk akal !...
Rizki Rizki,5,6/29/2021 15:14,Sangat bagus dan menarik sukses terus dan beri pendapattan bagi orang yang tidak mampu
Desi Ainun,1,6/28/2021 6:26,Aplikasi tiktoknya tiba2 hilang trus gk bs di donload lg...
Warini Tato,5,6/26/2021 21:14,Sangat menghibur n menghilangkan lelah
Ridwan ARFN,1,6/26/2021 16:27,Sangat buruk.. saya mencoba menonton video lama tetapi tidak mendapatkan point hasil menonton sudah sering seperti ini..
Muhammad Faris,1,6/25/2021 16:23,"Aplikasi penipuan scamm cape² minjem hp temen tetangga buat download tiktok ehh malah koinya cuma 1k ada yg 6k padahal tulisanya per undangan 10k aplikasi scam, untuk lenarikanya pun gak bisa aplikasi penipuann!!!!!!! SCAMM!!!!!!!"
Zero Buana,2,6/25/2021 10:27,Ada event ngebug perbaiki lah Sangat sangat tidak nyaman
David Mersey,1,6/23/2021 8:59,Kenapa saldo saya tidak bisa ditarik tolong developer di baca
Mas jawa76,3,6/19/2021 11:09,Susah sekali untuk masukan undangan baru.selalu penipuan eror jaringan.padahal aplikasi ini bagus tapi undang teman tidak bisa.
Nur Aini,5,6/18/2021 10:52,pokonya tik tok indah but hiburan
Pembangunan NKRI,1,6/18/2021 8:09,Kenapa sangat sulit memasukkan kode undangan. Pengguna baru kecewa untuk kebajikan tiktok . 😓 Lebih baik besarkan hadiah menontonnya dari pada undang teman sudah di bagikan kode undangan tetapi tetap tidak lolos kontrol penipuan .
Aryangga 599,5,6/18/2021 4:37,"Terima kasih tiktok, apk yg bagus bisa liat kayes joged"" dan cewek lainya, live streaming nya juga mantap mantap kurangan mereka pakek BH aja tiktok terima kasih ya ...."
Muhamad Aimarrizky,5,6/16/2021 15:47,Sayang apk tiktok yang bisa dapat duit di luar negri gak bisa
Syahrul Hidayat,3,6/16/2021 6:03,"Kenapa ya tiktok kalo udah di posting videonya agak buram? Padahal di galeri udah bagus, tapi setelah di post jadi buram gak jelas"
Nandashaf,2,6/15/2021 11:33,Untuk dibuat transisi jelek bgt ga seperti tahun2 2018'an😠 suka ngeleg
UPE GAMING,2,6/14/2021 11:07,Aplikasi nya kadang ilang kadang ada icon misi dan coin nya jadi malesin
Aguelin Betrix,1,6/13/2021 8:57,Knpa koin saya gk bertambah ya sama saldo saya juga gk bisa di tarik? Tlong perbaiki lagi tik tok
Iky,3,6/12/2021 9:08,Untuk pihak tiktok kenapa di saya tidak bisa menarik saldo atau koin pdhl sudah mencukupi untuk melakukan penarikan setiap ingin melakukan penarikan pasti ada tulisan jumlah pernarikan telah melebihi frekuensi jadi tolonglah untuk pihak tiktok segera di perbaiki saya sudah susah susah untuk mengumpulkan Koin atau saldo percuma jdinya klw tidak bisa di tarik
Nadya Princes azmy,5,6/11/2021 9:18,knp efek glow gk ad d ttk ku ya😭😭😭😭smuanya jd burem.smua efek gk ad
Wagi Man,3,6/10/2021 0:28,Setelah di perbarui misi menonton tidak muncul
Pria Nita,4,6/8/2021 10:51,Tak kasih 4 bintang duluuu ..jika emang bisa menghasilkan uang tak kasih bintang 100 👌👍
abdul mazid,1,6/8/2021 4:59,Knpa saldo tiba2 hilang...di cek transaksi smua kosong
AirA Ersya,5,6/7/2021 22:37,"Gimana sih saya narik saldo gakbisa"" gagal terus gak bnyak sih cuman 50rb tp saya gak curang masak iya gak bisa di tarik uangnya ..herann apa udah gak membayar lagi ya.. capek"" nonton video hasilnya gak bisa ketarik jadi males lagi"
Neng wati Wati,1,6/6/2021 20:23,Saya gk kn ngsih bintang krna saya udah kecewa bnget sama aplikasi ini...yg gampang bnget mmblokir selmanya... Ok pra pengguna tiktok yg sdah melanggr standr komunitas tnpa di sadari ...tp gk ada kh kebijakan sedikit aja buat kmi pra pengguna tiktok klw melanggr jgn langsung di blokir slamanya.. Krna aku juga buat ngumpulin folower itu butuh waktu pnjang dan buat konten hl yg bagus dan menarik hrus latihan berulang begitu juga dlm brmain tiktok gk gratis pke kuota sekli melanggr jgn lNgsung blok
Ella Nor elaa,5,6/6/2021 6:42,Aplikasi tik tok ini sangat bagus dan bs mnghibur.😀
Vicky Adi,2,6/5/2021 11:21,"Kenapa saya tidak bisa memasukan kode undangan, padahal saya kan pengguna baru, pertama keluhannya adalah tidak lolos control penipuan, keluhan kedua kesalahan jaringan harap coba lagi. Itu saja keluhannya. Mohon diperbaiki dong pihak tik tok"
Priska Nora,5,6/5/2021 2:26,Keren bet sih ini maap ya udah gak tau bilang apa yang penting aku kasih bintang 5 karena aplikasi favorit ku😉😉😉
Ananda Vergiawan,1,6/2/2021 9:44,Iklan ni apk jangan terus-terusan. iklan ni terus keluar😡 ganggu aja
Julia jodah akhbar epis0de 17,5,6/1/2021 5:54,Aku kasih bintang 5 karena aplikasinya sangat bagus dan ada efek yang sangat lusu
Tandi Saputra,4,5/31/2021 15:58,"Kemana nih koinnya, kok tiba tiba hilang begitu saja? Setelah saya instal aplikasi tiktok lite nya. Saran itu aja aja keluhannya"
Arlond Christensen,1,5/31/2021 0:59,"Logo coin nya tidak muncul , padahal saya user baru . tolong diperbaiki lagi."
Putra _Syu,5,5/28/2021 20:07,Saya kasih bintang 5 karena aplikasi ini sangat menghibur dan informasi-informasi yang update saya dapat kan dari aplikasi ini
suarah Channel,1,5/28/2021 11:22,Kenpa tiktok sekarang jelek sih tolong di perbaiki.
Raghez Channel,2,5/27/2021 4:11,Kenapa tiktok sya gak bisa dapat poin saldo. / gak ada logo / notifikasi undangan
alayibi Heru,5,5/26/2021 14:18,Sangat menghibur tetap bekarya dengan karya tersediri
fhina putry,5,5/24/2021 23:14,ini percobaan dulu ea lo gk macet lg q tambahin binntang
IBNU GAMING,1,5/24/2021 2:48,Aplikasi ini sangat jelek!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!tapi boong aplikasi ini sangat bagus sekali!!!!!!!
Raimla Raimla,4,5/22/2021 1:59,Adikku selalu melihat aplikasi tik tik ini di sampai tidak meraji lagu karna tik tik ini
Hindun Sulistiyowati,4,5/20/2021 22:09,"Apa iya aplikasi tiktok ini bisa menghasilkan uang,? Klau emang bisa gmna cara melihat nya dan gimana cara mengambilnya,? Tolong yg phm di jawab ya Terimakasih😍"
Arman Gulo,3,5/20/2021 16:02,3 bintang aja dulu soalnya koin event nya gak muncul diapknya Klo dh muncul gw ksh 5 bintang bila terperbaiki
Silvina,5,5/19/2021 11:22,Terimakasih karena ada fitur dark mode
Astrid Tiara Fista,5,5/17/2021 10:24,Apk ini bagus buruan donlawand apk ini bisa menghasil kan uang dan bisa juga mencari teman buruan donlawand apk ini sebelum terlambat
Nyimas Dewi,1,5/16/2021 19:38,Aplikasi tiktok ini sngt menghibur dan bnyk info2 daerah dn yg bermanpaat tergantung kita yg menggunakn nya
Rahmat Hidayat,3,5/16/2021 8:07,Sangat menghibur setelah pulang kerja bukak Tiktok bikin ketawa sendiri
